Iteration,h1,h2,h3,dropout_rate,l2_reg,optimizer,batch_size,epochs,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_ROC_AUC,Test_F1,Test_Accuracy_Adipose_GTEx,Test_Accuracy_Artery_GTEx,Test_Accuracy_BLCA_TCGA,Test_Accuracy_BRCA_METASTATIC,Test_Accuracy_BRCA_TCGA,Test_Accuracy_Brain_GTEx,Test_Accuracy_Breast_GTEx,Test_Accuracy_CESC_TCGA,Test_Accuracy_COAD_METASTATIC,Test_Accuracy_COAD_TCGA,Test_Accuracy_Colon_GTEx,Test_Accuracy_Esophagus_GTEx,Test_Accuracy_HNSC_METASTATIC,Test_Accuracy_HNSC_TCGA,Test_Accuracy_Heart_GTEx,Test_Accuracy_KIRC_TCGA,Test_Accuracy_Kidney_GTEx,Test_Accuracy_LGG_TCGA,Test_Accuracy_LIHC_TCGA,Test_Accuracy_LUAD_METASTATIC,Test_Accuracy_LUAD_TCGA,Test_Accuracy_Liver_GTEx,Test_Accuracy_Lung_GTEx,Test_Accuracy_Minor_GTEx,Test_Accuracy_Muscle_GTEx,Test_Accuracy_Nerve_GTEx,Test_Accuracy_Ovary_GTEx,Test_Accuracy_PAAD_METASTATIC,Test_Accuracy_PAAD_TCGA,Test_Accuracy_PRAD_TCGA,Test_Accuracy_Pancreas_GTEx,Test_Accuracy_Pituitary_GTEx,Test_Accuracy_Prostate_GTEx,Test_Accuracy_SKCM_METASTATIC,Test_Accuracy_SKCM_TCGA,Test_Accuracy_STAD_METASTATIC,Test_Accuracy_STAD_TCGA,Test_Accuracy_Skin_GTEx,Test_Accuracy_Small_GTEx,Test_Accuracy_Spleen_GTEx,Test_Accuracy_Stomach_GTEx,Test_Accuracy_THCA_TCGA,Test_Accuracy_Testis_GTEx,Test_Accuracy_Thyroid_GTEx,Test_Accuracy_UCEC_METASTATIC,Test_Accuracy_UCEC_TCGA,Test_Accuracy_Uterus_GTEx,Test_Accuracy_Vagina_GTEx,Test_Accuracy_Whole_GTEx
1,128,128,128,0.3,0.0001,adam,64,20,0.9870676691729323,0.9866404308986162,0.9870676691729323,0.986589774029865,0.9851988899167438,0.9853615881149141,0.9851988899167438,,0.9851180294464487,0.992,0.9926739926739927,0.8870967741935484,0.975,0.9649122807017544,1.0,0.9404761904761905,0.828125,0.9428571428571428,0.975609756097561,0.9942196531791907,0.9868421052631579,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,0.9836065573770492,0.75,0.9827586206896551,1.0,1.0,1.0,1.0,0.9841269841269841,1.0,0.84,1.0,1.0,1.0,1.0,1.0,,1.0,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9230769230769231,0.96875,1.0
2,256,64,256,0.3,1e-05,adam,32,20,0.9873684210526316,0.9873698934524262,0.9873684210526316,0.9870851474214264,0.9854301572617946,0.9854712911861762,0.9854301572617946,,0.9853388623707773,0.992,0.9963369963369964,0.8870967741935484,0.975,0.9649122807017544,1.0,0.9047619047619048,0.828125,0.9428571428571428,0.975609756097561,0.9942196531791907,0.9868421052631579,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,0.9836065573770492,0.8,0.9827586206896551,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.84,1.0,1.0,1.0,1.0,1.0,,1.0,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9615384615384616,0.96875,1.0
3,256,256,64,0.3,1e-05,adam,16,20,0.9870676691729323,0.9874074779133408,0.9870676691729323,0.986930166958269,0.984736355226642,0.9850016361420153,0.984736355226642,,0.984761320656788,0.992,0.9926739926739927,0.8870967741935484,0.95,0.9649122807017544,1.0,0.9047619047619048,0.828125,0.9428571428571428,0.9878048780487805,0.9942196531791907,0.9835526315789473,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,1.0,0.7,0.9827586206896551,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.88,1.0,1.0,1.0,1.0,1.0,,0.9807692307692307,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9615384615384616,0.96875,1.0
4,256,256,256,0.3,1e-05,adam,32,20,0.9864661654135338,0.9868923861910457,0.9864661654135338,0.986262636911348,0.9845050878815911,0.9848653875045654,0.9845050878815911,,0.9845282564910904,0.992,0.9926739926739927,0.8548387096774194,0.975,0.9649122807017544,1.0,0.9047619047619048,0.828125,0.9428571428571428,0.9878048780487805,1.0,0.9802631578947368,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,1.0,0.8,0.9827586206896551,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.84,1.0,1.0,1.0,1.0,1.0,,0.9807692307692307,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9230769230769231,0.96875,1.0
5,256,256,256,0.3,0.0001,adam,64,20,0.9867669172932331,0.9864322639583721,0.9867669172932331,0.9862961325669507,0.9856614246068455,0.9858091670717293,0.9856614246068455,,0.9856007638633403,0.992,0.9926739926739927,0.8870967741935484,0.975,0.9649122807017544,1.0,0.9404761904761905,0.828125,0.9428571428571428,0.975609756097561,0.9942196531791907,0.9868421052631579,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,1.0,0.75,0.9827586206896551,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.88,1.0,1.0,1.0,1.0,1.0,,0.9807692307692307,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9230769230769231,0.96875,1.0
6,128,128,256,0.3,1e-05,adam,32,20,0.9870676691729323,0.9874352383164698,0.9870676691729323,0.9869864402547447,0.9856614246068455,0.9856859521399733,0.9856614246068455,,0.9855989253958887,0.984,0.9926739926739927,0.8870967741935484,0.975,0.9649122807017544,1.0,0.9404761904761905,0.828125,0.9428571428571428,0.975609756097561,0.9942196531791907,0.9868421052631579,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,1.0,0.75,0.9827586206896551,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.88,1.0,1.0,1.0,1.0,1.0,,1.0,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9615384615384616,0.96875,1.0
7,256,256,128,0.3,0.0001,adam,32,20,0.9864661654135338,0.9867947854297321,0.9864661654135338,0.9862526036837169,0.986586493987049,0.9867624529741779,0.986586493987049,,0.9865742357488798,0.992,0.9963369963369964,0.8870967741935484,0.975,0.9649122807017544,1.0,0.9404761904761905,0.84375,0.9428571428571428,0.975609756097561,0.9942196531791907,0.9868421052631579,,0.9333333333333333,1.0,0.9682539682539683,1.0,1.0,1.0,0.8,0.9827586206896551,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,,0.9807692307692307,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.9615384615384616,0.96875,1.0
8,256,128,128,0.3,1e-05,adam,64,20,0.9870676691729323,0.9872268222535685,0.9870676691729323,0.9868736393771826,0.9851988899167438,0.9852964103325739,0.9851988899167438,,0.9851214025305746,0.988,0.9926739926739927,0.8870967741935484,0.975,0.9649122807017544,1.0,0.9404761904761905,0.828125,0.9428571428571428,0.975609756097561,0.9942196531791907,0.9868421052631579,,0.9333333333333333,1.0,0.9841269841269841,1.0,1.0,1.0,0.8,0.9827586206896551,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,1.0,1.0,,0.9807692307692307,,0.9821428571428571,1.0,0.9545454545454546,1.0,0.9871794871794872,1.0,1.0,1.0,,0.9848484848484849,0.8461538461538461,0.96875,1.0
