Gene,AccuracyDrop,AccuracyDrop_Adipose_GTEx,AccuracyDrop_Artery_GTEx,AccuracyDrop_Brain_GTEx,AccuracyDrop_Breast_GTEx,AccuracyDrop_Colon_GTEx,AccuracyDrop_Esophagus_GTEx,AccuracyDrop_Heart_GTEx,AccuracyDrop_Kidney_GTEx,AccuracyDrop_Liver_GTEx,AccuracyDrop_Lung_GTEx,AccuracyDrop_Minor_GTEx,AccuracyDrop_Muscle_GTEx,AccuracyDrop_Nerve_GTEx,AccuracyDrop_Ovary_GTEx,AccuracyDrop_Pancreas_GTEx,AccuracyDrop_Pituitary_GTEx,AccuracyDrop_Prostate_GTEx,AccuracyDrop_Skin_GTEx,AccuracyDrop_Small_GTEx,AccuracyDrop_Spleen_GTEx,AccuracyDrop_Stomach_GTEx,AccuracyDrop_Testis_GTEx,AccuracyDrop_Thyroid_GTEx,AccuracyDrop_Uterus_GTEx,AccuracyDrop_Vagina_GTEx,AccuracyDrop_Whole_GTEx,AccuracyDrop_BLCA_TCGA,AccuracyDrop_BRCA_TCGA,AccuracyDrop_CESC_TCGA,AccuracyDrop_COAD_TCGA,AccuracyDrop_HNSC_TCGA,AccuracyDrop_KIRC_TCGA,AccuracyDrop_LGG_TCGA,AccuracyDrop_LIHC_TCGA,AccuracyDrop_LUAD_TCGA,AccuracyDrop_PAAD_TCGA,AccuracyDrop_PRAD_TCGA,AccuracyDrop_SKCM_TCGA,AccuracyDrop_STAD_TCGA,AccuracyDrop_THCA_TCGA,AccuracyDrop_UCEC_TCGA,AccuracyDrop_LUAD_METASTATIC,AccuracyDrop_PAAD_METASTATIC,AccuracyDrop_BRCA_METASTATIC,AccuracyDrop_COAD_METASTATIC,p_value
TEX15,0.012604070305272852,0.019600000000000017,0.000366300366300365,0.0010204081632653184,0.06428571428571428,0.04335260115606933,0.01809210526315791,0.0,0.03636363636363634,0.0,0.006956521739130417,0.008108108108108091,0.0006097560975609762,0.003968253968253977,0.019999999999999997,0.00588235294117645,0.0016949152542372835,0.01132075471698113,0.0,0.06818181818181822,0.0,0.03589743589743595,0.0,0.0007874015748031482,0.05384615384615389,0.025,0.0,0.004838709677419351,-0.003508771929824528,0.0609375,0.0012195121951219523,0.1088888888888889,0.0015873015873015817,0.0040000000000000036,0.009836065573770503,-0.005172413793103459,0.006896551724137922,0.0046875,0.005769230769230782,0.0017857142857142794,0.0032258064516129,0.010606060606060596,0.06500000000000006,0.096,0.04749999999999999,0.03714285714285716,0.00510204081632653
ISL1,0.01255781683626267,0.03920000000000001,0.001098901098901095,0.0014285714285714457,0.05357142857142855,0.015606936416184925,0.004934210526315796,0.0055248618784530246,0.05909090909090907,0.002702702702702697,0.004347826086956519,0.021621621621621602,0.0,0.014285714285714301,0.033333333333333326,0.0014705882352941124,0.0,0.02264150943396226,0.0,0.022727272727272783,0.0,0.01410256410256413,0.0,0.003937007874015741,0.02692307692307695,0.053125,0.0,-0.012903225806451613,0.0578947368421053,0.0359375,0.008536585365853666,0.04888888888888891,0.0015873015873015595,0.0020000000000000018,0.006557377049180335,0.006896551724137901,0.003448275862068961,0.0,0.015384615384615396,0.005357142857142838,0.00161290322580645,0.0015151515151515138,0.13000000000000006,0.156,0.06999999999999997,0.07428571428571427,0.005494505494505495
SHANK2,0.012488436632747412,0.038800000000000015,0.002564102564102555,0.0022448979591837004,0.07738095238095237,0.01040462427745661,0.007565789473684225,0.00220994475138121,0.03181818181818179,0.0,0.003478260869565197,0.005405405405405394,0.0,0.00793650793650793,0.009999999999999998,0.0,0.0016949152542372835,0.013207547169811318,0.0,0.027272727272727358,0.003921568627450989,0.016666666666666698,0.0,0.0023622047244094444,0.05000000000000006,0.046875,0.0,-0.0032258064516129,0.015789473684210555,0.028125,0.0012195121951219523,0.022222222222222233,0.0031746031746031633,0.0,0.016393442622950838,0.001724137931034464,0.010344827586206884,0.0046875,0.017307692307692347,0.0035714285714285587,0.0032258064516129,0.007575757575757569,0.17000000000000007,0.13200000000000003,0.13749999999999998,0.07999999999999999,0.005886970172684459
HOXB5,0.012234042553191448,0.007600000000000007,-0.001098901098901095,0.0008163265306122547,0.05714285714285712,0.01040462427745662,0.02467105263157896,0.0016574585635359073,0.009090909090909084,0.0,0.0,0.010810810810810801,0.0,0.003968253968253954,0.009999999999999998,0.002941176470588225,0.0,0.013207547169811318,0.0,0.013636363636363679,0.0,0.016666666666666708,0.0,0.0007874015748031482,0.007692307692307743,0.028125,0.0,0.004838709677419351,0.022807017543859675,0.059375,0.0012195121951219523,0.06444444444444447,0.007936507936507908,0.0,0.011475409836065587,-0.0017241379310344973,0.003448275862068961,0.0078125,0.017307692307692312,0.0035714285714285587,0.017741935483870964,0.02878787878787876,0.24500000000000002,0.12400000000000003,0.1975,0.02857142857142858,0.006279434850863423
CHRFAM7A,0.011817761332099875,0.009200000000000009,0.001098901098901095,0.02693877551020407,0.05476190476190475,0.008092485549132899,0.007565789473684225,0.0027624309392265123,0.004545454545454542,0.0,0.0017391304347825986,0.021621621621621588,0.0,0.004761904761904745,0.01333333333333333,0.0,0.005084745762711851,0.01132075471698113,0.0,0.029545454545454607,0.0,0.02179487179487184,0.0,0.0007874015748031482,0.030769230769230816,0.01875,0.0,0.009677419354838701,0.01754385964912285,0.0296875,0.0024390243902439046,0.031111111111111124,0.0015873015873015706,0.09,0.006557377049180335,0.0,0.003448275862068961,0.0,0.011538461538461563,0.0,0.0,0.01212121212121211,0.13500000000000006,0.044000000000000004,0.039999999999999966,0.05714285714285716,0.0066718995290423865
UGT2B28,0.011794634597594788,0.03480000000000003,0.00146520146520146,0.0008163265306122547,0.06785714285714284,0.0063583815028901425,-0.0013157894736842036,0.0005524861878453025,0.0,0.0,0.0,0.010810810810810801,0.0,0.008730158730158732,0.023333333333333327,0.0,0.0,0.015094339622641506,0.0,0.01590909090909095,0.0,0.016666666666666708,0.0,0.0,0.042307692307692345,0.009375,0.0,0.008064516129032251,0.035087719298245626,0.05,0.0060975609756097615,0.04000000000000002,0.0031746031746031633,0.0040000000000000036,0.006557377049180335,-3.3306690738754695e-17,0.006896551724137922,0.0015625,0.007692307692307709,0.0,0.0,0.03787878787878788,0.24000000000000007,0.13199999999999998,0.15499999999999997,0.06571428571428571,0.00706436420722135
GATA4,0.011470860314523556,0.016000000000000014,-0.000366300366300365,0.0014285714285714457,0.04999999999999999,0.007514450867051992,0.01546052631578949,0.0,0.009090909090909084,0.0,0.0008695652173912993,0.002702702702702697,0.0,0.010317460317460326,0.0,0.002941176470588225,0.0,0.007547169811320753,0.0,0.03409090909090915,0.0019607843137254945,0.026923076923076973,0.0,0.0007874015748031482,0.05384615384615391,0.03125,0.0,0.008064516129032251,0.0017543859649123083,0.0328125,0.025609756097561,0.03333333333333336,0.004761904761904745,0.0,0.009836065573770503,0.0017241379310344751,0.003448275862068961,0.0,0.009615384615384637,0.005357142857142849,0.0,0.036363636363636355,0.18000000000000008,0.152,0.13749999999999998,0.07999999999999999,0.007456828885400314
PXDNL,0.011424606845513375,0.04840000000000001,0.00073260073260073,0.000612244897959191,0.06785714285714284,0.008092485549132934,0.006250000000000011,0.0033149171270718146,0.013636363636363624,0.0,0.0017391304347825986,0.010810810810810789,0.0,0.005555555555555558,0.006666666666666665,0.004411764705882337,0.0,0.013207547169811318,0.0,0.05227272727272734,0.0,0.019230769230769273,0.0,0.0015748031496062964,0.015384615384615418,0.028125,0.0,0.0129032258064516,0.0017543859649123083,0.00625,-0.003658536585365857,0.07777777777777779,0.006349206349206327,0.0,0.009836065573770503,0.0,0.0,0.0015625,0.0038461538461538546,0.0,0.0,0.022727272727272707,0.18000000000000002,0.14400000000000002,0.07749999999999997,0.04285714285714287,0.007849293563579277
AGTR2,0.011378353376503215,0.028000000000000025,-0.001098901098901095,0.0008163265306122547,0.07023809523809521,0.005202312138728282,0.005921052631578961,0.001104972375690605,0.0,0.0,0.002608695652173909,0.005405405405405394,0.0,0.005555555555555547,0.01333333333333333,0.0014705882352941124,0.0016949152542372835,0.009433962264150941,0.0,0.013636363636363679,0.0019607843137254945,0.024358974358974418,0.0,0.0023622047244094444,0.007692307692307732,0.0,0.0,0.0032258064516129,0.017543859649122816,0.0375,0.024390243902439025,0.10222222222222221,0.006349206349206338,0.0,0.0016393442622950837,-0.0017241379310344862,0.013793103448275857,0.0,0.0038461538461538546,0.008928571428571407,0.00161290322580645,0.02727272727272726,0.11000000000000006,0.13200000000000003,0.15999999999999998,0.06857142857142859,0.008241758241758242
FRMD7,0.010846438482886179,0.02320000000000002,0.00073260073260073,0.001224489795918382,0.05476190476190475,0.011560693641618469,0.005263157894736847,0.0016574585635359073,0.018181818181818167,0.0,0.0,0.008108108108108091,0.0,0.005555555555555536,0.019999999999999997,0.00588235294117645,0.0,0.013207547169811318,0.0,0.0045454545454545634,0.0,0.014102564102564141,0.0,0.0,0.011538461538461576,0.034375,0.0,0.019354838709677403,0.017543859649122816,0.034375,0.0024390243902439046,0.008888888888888901,-0.001587301587301615,0.0,0.01311475409836067,0.02068965517241377,0.0,0.0,0.009615384615384626,0.0017857142857142794,0.0032258064516129,0.027272727272727247,0.225,0.18,0.13749999999999998,0.05714285714285715,0.008634222919937205
ATP8B5P,0.010777058279370911,0.030400000000000017,0.000366300366300365,0.0008163265306122547,0.07857142857142854,0.014450867052023076,0.013486842105263176,0.001104972375690605,0.027272727272727247,0.0,0.005217391304347796,0.005405405405405394,0.0,0.01349206349206351,0.0033333333333333327,0.007352941176470562,0.0,0.007547169811320753,0.0,0.043181818181818245,0.0,0.024358974358974394,0.0,0.0023622047244094444,0.030769230769230826,0.01875,0.0,-0.00161290322580645,0.0210526315789474,0.0234375,0.019512195121951237,0.006666666666666677,0.004761904761904745,0.0,0.006557377049180335,-0.0034482758620689837,0.003448275862068961,0.0,0.005769230769230782,0.010714285714285676,0.00161290322580645,0.01212121212121211,0.11000000000000006,0.10800000000000001,0.07749999999999996,0.017142857142857147,0.00902668759811617
EDN3,0.010753931544865836,0.03800000000000001,-0.00146520146520146,0.0008163265306122547,0.06904761904761902,0.0034682080924855253,0.017105263157894745,0.00220994475138121,0.018181818181818177,0.0,0.0,0.010810810810810801,0.0,0.0071428571428571504,0.0033333333333333327,0.007352941176470562,0.0,0.02264150943396226,0.0,0.0,0.0,-0.002564102564102555,0.0,0.0007874015748031482,0.0076923076923077205,0.015625,0.0,0.0064516129032258,0.019298245614035127,0.0359375,0.012195121951219513,0.044444444444444474,-2.2204460492503132e-17,0.0,0.01311475409836067,0.0,0.003448275862068961,0.0,0.0,0.0035714285714285587,0.0,0.021212121212121193,0.13000000000000006,0.164,0.06499999999999997,0.0657142857142857,0.009419152276295133
NKX6-1,0.010730804810360716,0.026400000000000024,-0.00073260073260073,0.00040816326530612734,0.04999999999999997,0.030057803468208043,0.03092105263157897,0.0038674033149171173,0.018181818181818177,0.0,0.0008695652173912993,0.005405405405405394,0.0,0.008730158730158732,0.0033333333333333327,0.0,0.0,0.005660377358490565,0.0007246376811594236,0.029545454545454597,0.0,0.02051282051282056,0.0,0.0015748031496062964,3.3306690738754695e-17,0.021875,0.0,0.0032258064516129,0.010526315789473717,0.0125,0.007317073170731714,0.015555555555555567,-0.0015873015873015927,0.0020000000000000018,0.0032786885245901674,0.0,0.010344827586206884,0.0,0.0038461538461538546,0.0017857142857142794,0.0,0.0030303030303030277,0.09500000000000004,0.09999999999999998,0.10499999999999998,0.04571428571428572,0.009811616954474097
COLEC10,0.010684551341350556,0.02160000000000002,0.0,0.0010204081632653184,0.05714285714285713,0.00867052023121384,0.006907894736842113,0.0027624309392265123,0.013636363636363636,0.0,0.002608695652173898,0.010810810810810801,0.0,0.00714285714285714,0.01333333333333333,0.002941176470588225,0.0,0.0018867924528301883,0.0,0.045454545454545504,0.0,0.02179487179487184,0.0,0.003937007874015741,0.03461538461538466,0.03125,0.0,0.022580645161290304,-0.003508771929824528,0.0609375,0.0060975609756097615,0.06666666666666668,0.006349206349206304,0.0040000000000000036,0.0016393442622950837,0.010344827586206851,0.003448275862068961,0.0015625,0.005769230769230782,0.007142857142857129,0.0,0.019696969696969678,0.17000000000000007,0.1,0.07499999999999997,0.04857142857142858,0.01020408163265306
DMRTC1B,0.010592044403330215,0.004400000000000004,-0.001098901098901095,0.002448979591836764,0.036904761904761905,0.004624277456647364,-0.002631578947368418,0.0,0.004545454545454542,0.0,0.0,0.008108108108108103,0.0,0.004761904761904756,0.0033333333333333327,0.0014705882352941124,0.0,0.0018867924528301883,0.0,0.020454545454545513,0.0,0.00897435897435902,0.0,0.0,0.023076923076923116,0.0125,0.0,0.009677419354838701,0.012280701754385993,0.08125,0.007317073170731714,0.10222222222222224,0.011111111111111082,0.018000000000000016,0.0049180327868852515,0.0017241379310344528,0.006896551724137922,0.0,0.007692307692307709,0.0,0.00161290322580645,0.04848484848484848,0.11500000000000003,0.18,0.1525,0.17999999999999994,0.010596546310832025
BARX1,0.010430157261794592,0.03200000000000003,0.00146520146520146,0.0020408163265306367,0.09642857142857142,0.002312138728323676,0.014144736842105298,0.0005524861878453025,0.009090909090909084,0.0,0.0008695652173912993,0.005405405405405394,0.0,0.005555555555555547,0.006666666666666665,0.004411764705882337,0.0,0.013207547169811318,0.0,0.0022727272727272817,0.0,0.005128205128205154,0.0,0.0,0.011538461538461576,0.025,0.0,-0.008064516129032251,0.04385964912280704,0.00625,0.0060975609756097615,-0.00444444444444444,-2.2204460492503132e-17,0.0020000000000000018,0.011475409836065587,0.005172413793103426,0.010344827586206884,0.009375,0.01346153846153847,0.008928571428571397,0.0032258064516129,-0.004545454545454542,0.12000000000000002,0.144,0.13499999999999995,0.04571428571428573,0.01098901098901099
CDH7,0.010383903792784432,0.012800000000000011,0.0,0.000612244897959191,0.046428571428571416,0.001156069364161838,-0.003289473684210509,0.00220994475138121,0.02727272727272726,0.0,0.0,0.0,0.0,0.011111111111111117,0.0033333333333333327,0.0014705882352941124,0.0,0.0018867924528301883,0.0,0.0045454545454545634,0.0,0.005128205128205143,0.0,0.0,-0.01153846153846152,0.003125,0.0,0.0064516129032258,0.007017543859649156,0.090625,0.01097560975609757,0.09333333333333335,0.004761904761904756,0.030000000000000027,0.008196721311475419,0.0,0.0,0.0015625,0.007692307692307698,0.005357142857142838,0.014516129032258051,0.022727272727272717,0.19500000000000006,0.22800000000000004,0.13999999999999999,0.07999999999999999,0.011381475667189953
ODAM,0.010360777058279303,0.03600000000000002,-0.001098901098901095,0.00020408163265306367,0.07142857142857142,0.0034682080924855253,0.0016447368421052544,0.0,0.031818181818181815,0.0,0.0,0.002702702702702697,0.0,0.004761904761904745,0.009999999999999998,0.0,0.0,0.0018867924528301883,0.0,0.01590909090909095,0.0,0.010256410256410286,0.0,0.0,0.015384615384615418,0.034375,0.0,0.014516129032258051,0.01578947368421054,0.0453125,0.02073170731707318,0.040000000000000015,-2.2204460492503132e-17,0.0020000000000000018,0.006557377049180335,-0.0017241379310344862,0.02068965517241378,0.0,0.011538461538461553,0.0035714285714285587,0.0,0.007575757575757569,0.1650000000000001,0.14800000000000005,0.125,0.04571428571428573,0.011773940345368918
GABRA4,0.010337650323774239,0.04240000000000001,0.0,0.00040816326530612734,0.06190476190476191,0.0063583815028901425,0.0026315789473684514,0.001104972375690605,0.02727272727272726,0.0,0.0008695652173912993,0.0,0.0,0.0023809523809523725,0.016666666666666663,0.00588235294117645,0.0,0.005660377358490565,0.0,0.0022727272727272817,0.0,0.0076923076923077205,0.0,0.0,0.030769230769230837,0.0125,0.0,0.0129032258064516,0.014035087719298267,0.0625,0.0024390243902439046,0.04444444444444447,0.00952380952380949,0.0,0.008196721311475419,0.003448275862068939,0.0,0.0015625,0.009615384615384637,0.0,0.0064516129032258,0.015151515151515138,0.175,0.09199999999999998,0.08999999999999998,0.05714285714285715,0.01216640502354788
SCGB1A1,0.010083256244218275,0.024800000000000023,-0.001098901098901095,0.0,0.05476190476190477,0.000578034682080919,-0.002302631578947356,0.001104972375690605,0.0,0.0,0.0017391304347825986,0.005405405405405394,0.0,0.008730158730158732,0.0,0.0,0.0,0.0018867924528301883,0.0,0.0,0.0,0.008974358974359008,0.0,0.0,-0.026923076923076904,0.003125,0.0,-0.0064516129032258,0.04210526315789477,0.1046875,0.03414634146341462,0.0888888888888889,0.006349206349206338,0.0,0.014754098360655754,0.012068965517241348,0.017241379310344807,0.0,0.005769230769230782,0.021428571428571387,0.004838709677419351,0.03333333333333331,0.16000000000000006,0.12399999999999997,0.06749999999999995,0.022857142857142864,0.012558869701726845
